frage;antw;antw_nr;antw_pos_x_abs;antw_pos_y_abs
4;nein;1;122;1628
4;ja;2;220;1628
5;0;1;670;648
5;1;2;714;648
5;2;3;758;648
5;3;4;802;648
5;4;5;844;648
5;5;6;888;648
5;6;7;932;648
5;7;8;975;648
5;8;9;1019;648
5;9;10;1062;648
5;10;11;1108;648
6;staerker;1;673;756
6;gleichbleibend;2;781;756
6;schwaecher;3;930;756
6;ganz_weg;4;1040;756
7;0;1;670;831
7;1;2;714;831
7;2;3;758;831
7;3;4;802;831
7;4;5;844;831
7;5;6;888;831
7;6;7;932;831
7;7;8;975;831
7;8;9;1019;831
7;9;10;1062;831
7;10;11;1108;831
8;0;1;670;974
8;1;2;714;974
8;2;3;758;974
8;3;4;802;974
8;4;5;844;974
8;5;6;888;974
8;6;7;932;974
8;7;8;975;974
8;8;9;1019;974
8;9;10;1062;974
8;10;11;1108;974
9;0;1;670;1115
9;1;2;714;1115
9;2;3;758;1115
9;3;4;802;1115
9;4;5;844;1115
9;5;6;888;1115
9;6;7;932;1115
9;7;8;975;1115
9;8;9;1019;1115
9;9;10;1062;1115
9;10;11;1108;1115
10;0;1;670;1258
10;1;2;714;1258
10;2;3;758;1258
10;3;4;802;1258
10;4;5;844;1258
10;5;6;888;1258
10;6;7;932;1258
10;7;8;975;1258
10;8;9;1019;1258
10;9;10;1062;1258
10;10;11;1108;1258
11;dmls;1;820;1437
11;dmsa;2;820;1500
11;sdsf;3;820;1562
11;sds;4;820;1626
12;nie;1;120;188
12;kaum;2;188;188
12;gering;3;268;188
12;mittel;4;349;188
12;stark;5;436;282
12;sehr_stark;6;508;282
13;nie;1;120;282
13;kaum;2;188;282
13;gering;3;268;282
13;mittel;4;349;282
13;stark;5;436;282
13;sehr_stark;6;508;282
14;nie;1;120;374
14;kaum;2;188;374
14;gering;3;268;374
14;mittel;4;349;374
14;stark;5;436;374
14;sehr_stark;6;508;374
15;nie;1;120;468
15;kaum;2;188;468
15;gering;3;268;468
15;mittel;4;349;468
15;stark;5;436;468
15;sehr_stark;6;508;468
16;nie;1;120;560
16;kaum;2;188;560
16;gering;3;268;560
16;mittel;4;349;560
16;stark;5;436;560
16;sehr_stark;6;508;560
17;nie;1;120;654
17;kaum;2;188;654
17;gering;3;268;654
17;mittel;4;349;654
17;stark;5;436;654
17;sehr_stark;6;508;654
18;nie;1;120;746
18;kaum;2;188;746
18;gering;3;268;746
18;mittel;4;349;746
18;stark;5;436;746
18;sehr_stark;6;508;746
19;0;1;117;892
19;1;2;161;892
19;2;3;205;892
19;3;4;248;892
19;4;5;291;892
19;5;6;335;892
19;6;7;378;892
19;7;8;421;892
19;8;9;465;892
19;9;10;508;892
19;10;11;553;892
20;0;1;117;1059
20;1;2;161;1059
20;2;3;205;1059
20;3;4;248;1059
20;4;5;291;1059
20;5;6;335;1059
20;6;7;378;1059
20;7;8;421;1059
20;8;9;465;1059
20;9;10;508;1059
20;10;11;553;1059
21;0;1;117;1227
21;1;2;161;1227
21;2;3;205;1227
21;3;4;248;1227
21;4;5;291;1227
21;5;6;335;1227
21;6;7;378;1227
21;7;8;421;1227
21;8;9;465;1227
21;9;10;508;1227
21;10;11;553;1227
27;0%;1;677;1185
27;10%;2;718;1185
27;20%;3;764;1185
27;30%;4;808;1185
27;40%;5;855;1185
27;50%;6;900;1185
27;60%;7;945;1185
27;70%;8;990;1185
27;80%;9;1030;1185
27;90%;10;1080;1185
27;100%;11;1130;1185
28;rechtshaender;1;675;1314
28;linkshaender;2;872;1314
