frage;antw;antw_nr;antw_pos_x_abs;antw_pos_y_abs
4;nein;1;122;1628
4;ja;2;220;1628
5;0;1;690;668
5;1;2;734;668
5;2;3;778;668
5;3;4;822;668
5;4;5;864;668
5;5;6;908;668
5;6;7;952;668
5;7;8;995;668
5;8;9;1039;668
5;9;10;1082;668
5;10;11;1128;668
6;staerker;1;693;776
6;gleichbleibend;2;801;776
6;schwaecher;3;950;776
6;ganz_weg;4;1060;776
7;0;1;690;851
7;1;2;734;851
7;2;3;778;851
7;3;4;822;851
7;4;5;864;851
7;5;6;908;851
7;6;7;952;851
7;7;8;995;851
7;8;9;1039;851
7;9;10;1082;851
7;10;11;1128;851
8;0;1;690;994
8;1;2;734;994
8;2;3;778;994
8;3;4;822;994
8;4;5;864;994
8;5;6;908;994
8;6;7;952;994
8;7;8;995;994
8;8;9;1039;994
8;9;10;1082;994
8;10;11;1128;994
9;0;1;690;1135
9;1;2;734;1135
9;2;3;778;1135
9;3;4;822;1135
9;4;5;864;1135
9;5;6;908;1135
9;6;7;952;1135
9;7;8;995;1135
9;8;9;1039;1135
9;9;10;1082;1135
9;10;11;1128;1135
10;0;1;690;1278
10;1;2;734;1278
10;2;3;778;1278
10;3;4;822;1278
10;4;5;864;1278
10;5;6;908;1278
10;6;7;952;1278
10;7;8;995;1278
10;8;9;1039;1278
10;9;10;1082;1278
10;10;11;1128;1278
11;dmls;1;840;1457
11;dmsa;2;840;1520
11;sdsf;3;840;1582
11;sds;4;840;1646
12;nie;1;140;208
12;kaum;2;208;208
12;gering;3;288;208
12;mittel;4;369;208
12;stark;5;456;302
12;sehr_stark;6;528;302
13;nie;1;140;302
13;kaum;2;208;302
13;gering;3;288;302
13;mittel;4;369;302
13;stark;5;456;302
13;sehr_stark;6;528;302
14;nie;1;140;394
14;kaum;2;208;394
14;gering;3;288;394
14;mittel;4;369;394
14;stark;5;456;394
14;sehr_stark;6;528;394
15;nie;1;140;488
15;kaum;2;208;488
15;gering;3;288;488
15;mittel;4;369;488
15;stark;5;456;488
15;sehr_stark;6;528;488
16;nie;1;140;580
16;kaum;2;208;580
16;gering;3;288;580
16;mittel;4;369;580
16;stark;5;456;580
16;sehr_stark;6;528;580
17;nie;1;140;674
17;kaum;2;208;674
17;gering;3;288;674
17;mittel;4;369;674
17;stark;5;456;674
17;sehr_stark;6;528;674
18;nie;1;140;766
18;kaum;2;208;766
18;gering;3;288;766
18;mittel;4;369;766
18;stark;5;456;766
18;sehr_stark;6;528;766
19;0;1;137;912
19;1;2;181;912
19;2;3;225;912
19;3;4;268;912
19;4;5;311;912
19;5;6;355;912
19;6;7;398;912
19;7;8;441;912
19;8;9;485;912
19;9;10;528;912
19;10;11;573;912
20;0;1;137;1079
20;1;2;181;1079
20;2;3;225;1079
20;3;4;268;1079
20;4;5;311;1079
20;5;6;355;1079
20;6;7;398;1079
20;7;8;441;1079
20;8;9;485;1079
20;9;10;528;1079
20;10;11;573;1079
21;0;1;137;1247
21;1;2;181;1247
21;2;3;225;1247
21;3;4;268;1247
21;4;5;311;1247
21;5;6;355;1247
21;6;7;398;1247
21;7;8;441;1247
21;8;9;485;1247
21;9;10;528;1247
21;10;11;573;1247
27;0%;1;697;1205
27;10%;2;738;1205
27;20%;3;784;1205
27;30%;4;828;1205
27;40%;5;875;1205
27;50%;6;920;1205
27;60%;7;965;1205
27;70%;8;1010;1205
27;80%;9;1050;1205
27;90%;10;1100;1205
27;100%;11;1150;1205
28;rechtshaender;1;695;1334
28;linkshaender;2;892;1334
